playerID,birthCountry,bats
basakch01,USA,R
basgamo01,USA,R
bashaal01,USA,B
bashowa01,USA,R
basined01,USA,R
baskeji01,USA,R
bassbr01,USA,R
bassdi01,USA,R
bassdo01,USA,L
bassech01,USA,R
basske01,USA,B
bassljo01,USA,L
bassno01,USA,R
bassra01,USA,L
bastaan01,D.R.,R
bastich01,USA,R
batchem01,USA,R
batchjo01,USA,R
batchri01,USA,R
batemjo01,USA,R
batesaa01,USA,R
batesbi01,USA,L
batesbu01,USA,R
batesch01,USA,R
batesde01,USA,L
batesdi01,USA,L
batesja01,USA,B
batesjo02,USA,L
batesra01,USA,R
bathebi01,USA,R
batiske01,USA,R
batiski01,USA,R
batismi01,D.R.,R
batisra01,D.R.,L
batisto01,D.R.,R
batteea01,USA,R
battege01,USA,R
battijo01,USA,R
battlal01,USA,R
battlho01,USA,R
battlji01,USA,R
battoch01,USA,R
battsma01,USA,R
bauerha01,USA,R
bauerlo01,USA,R
bauerri01,USA,R
bauerru01,USA,L
baughju01,USA,R
baumafr01,USA,L
baumapa01,USA,R
baumeji01,USA,R
baumgge01,USA,L
baumgha01,USA,R
baumgjo01,USA,R
baumgro01,USA,L
baumgst01,USA,L
baumhfr01,USA,L
bautaed01,Cuba,R
bautida01,D.R.,R
bautide01,D.R.,R
bautijo01,D.R.,R
bautijo02,D.R.,R
baxesji01,USA,R
baxesmi01,USA,R
baxtemi01,USA,L
baxtemo01,USA,L
bayha01,USA,L
bayja01,CAN,R
bayledi01,USA,L
baylijo01,USA,R
baylodo01,USA,R
baynebi01,USA,L
bazaryo01,Venezuela,R
beachbr01,USA,R
beallbo01,USA,B
bealljo01,USA,L
beallwa01,USA,R
bealsto01,USA,R
beamoch01,USA,R
beamoch02,USA,L
beamotr01,USA,L
beamtj01,USA,R
beanbe01,USA,R
beanbi01,USA,L
beanco01,USA,L
beanebi01,USA,R
beanjo01,USA,R
beardda01,USA,L
beardge01,USA,L
beardmi01,USA,L
beardol01,USA,R
beardra01,USA,R
beardte01,USA,L
bearega01,USA,R
bearnla01,USA,R
bearske01,USA,L
beaslch01,USA,R
beaslle01,USA,L
beatied01,USA,R
beattbl01,USA,L
beattde01,USA,R
beattji01,USA,R
beaucji01,USA,R
beaumgi01,USA,L
beazljo01,USA,R
bechlst01,USA,R
beckbo01,USA,R
beckcl01,USA,R
beckebe01,USA,L
beckech01,USA,L
beckegl01,USA,R
beckehe01,USA,R
beckehe02,Germany,B
beckejo01,USA,R
beckejo02,USA,R
beckema01,USA,B
becker01,USA,R
beckeri01,USA,L
beckero01,USA,R
beckfr02,USA,L
beckge01,USA,R
beckhgo01,USA,R
becklja01,USA,L
beckmbi01,USA,R
beckmji01,USA,R
beckri01,USA,B
beckro01,USA,R
beckwjo01,USA,L
beckzi01,USA,R
becquju01,Cuba,L
bedarer01,CAN,L
bedelho01,USA,L
bedfoge01,USA,B
bedgoph01,USA,R
bediehu01,USA,R
bednaan01,USA,R
bedrost01,USA,R
beebefr01,USA,R
beeched01,USA,L
beechma01,USA,L
beechro01,USA,L
beelejo01,USA,R
beenean01,USA,R
beenefr01,USA,B
beerscl01,USA,R
beggsjo01,USA,R
begleji01,USA,R
behanpe01,USA,R
behenri01,USA,R
behneme01,USA,L
behrmha01,USA,R
beimejo01,USA,L
beirnke01,USA,L
bejmaol01,USA,R
belanma01,USA,R
belarwa01,USA,L
belchke01,USA,R
belchti01,USA,R
beldeir01,USA,L
belinbo01,USA,L
belinst01,USA,R
belisma01,USA,R
belisro01,Venezuela,R
belitto01,USA,L
belkti01,USA,R
bellaze01,USA,R
bellbe01,USA,R
bellbi01,USA,R
bellbu01,USA,R
bellda01,USA,R
bellde01,USA,R
belleal01,USA,R
beller01,USA,L
bellfe01,USA,R
bellga01,USA,R
bellge01,USA,R
bellge02,D.R.,R
bellgu01,USA,L
bellhe01,USA,R
bellhi01,USA,R
bellhma01,USA,B
bellicl01,USA,R
bellira01,D.R.,R
belliro01,USA,R
bellja01,USA,R
bellje01,USA,B
belljo01,USA,B
bellju01,D.R.,R
bellke01,USA,R
bellle01,USA,R
bellmi01,USA,L
bellmi02,USA,R
belloed01,Venezuela,R
belloro01,W.Germany,R
bellra01,USA,L
bellro01,USA,R
bellru01,USA,R
bellte01,USA,R
belltr01,USA,L
beltrad01,D.R.,R
beltrca01,P.R.,B
beltres01,D.R.,R
beltrfr01,D.R.,R
beltrom01,D.R.,R
beltrri01,Mexico,L
bemisha01,USA,R
benarma01,Nicaragua,L
benavfr01,USA,R
benchjo01,USA,R
bendech01,USA,R
benedar01,USA,R
benedbr01,USA,R
benesal01,USA,R
benesan01,USA,R
benesjo01,USA,R
bengera01,USA,R
bengobe01,USA,R
beniqju01,P.R.,R
benitar01,D.R.,R
benitya01,P.R.,R
benjami01,USA,R
benjast01,USA,R
bennech01,USA,R
benneda01,USA,R
bennede01,USA,L
benneer01,USA,R
bennefr01,USA,R
bennefr02,USA,R
bennega01,USA,R
bennehe01,USA,L
benneik01,USA,L
benneje01,USA,R
bennejo01,USA,R
bennejo02,USA,R
bennepu01,USA,R
bennesh01,Australia,R
